,words,sentiments
67,dey very sad onto di passing of former spain sabi player jose antonio reyes  our thinkings and mind dey wit hin family and friends for dis kain hard time,Negative
68,di club really dey sad as we hear about luciano spalletti  our former coachie  amp  present coachie of inter  brother  wey no dey again our thinkings and mind dey wit di coachie and hin family,Negative
69,we no do buy am first  no credit today  come back tomorrow  ,Positive
70,good morning to all fans for world    if you want confam com chop dis tuwo  2 0  wit us   ,Positive
71,we really sorry to hear dis kain news  vinnot  our ogbonge art designer   our prayers and mind dey wit your mama and rest of di family  she go com out wella  ,Negative
72,21  game don dey hot wella now  home team don get 2 chances and we sef don out fear for genoa defence small  0  0 ,Negative
73,no laffing men dem carry game face wear    genoa  we don show  who dey house ,Negative
74,happy baiday to rome    city wey make correct brain      ,Positive
75,if dem yarn say pesin always dey dey on point na totti dem dey yarn about dis balling still full baba bodi remain for ground like sand sand,Positive
76,ranieri   sake of say we keep clean sheet for our last two matches   amp  we bin sweat wella to make am shele  e go don give di players beta confido  we know say we nid fight until season close shop and we gaz show fans say we wan do beta until when season end  ,Positive
77,what if we tell una say una dey top table for league right now  una go gree   ,Positive
78,46  second half don start  daje roma  we nid som goals abeg    0 0,Negative
79,3  mandragora bin wan cause trouble now wit shot wey hin fire  but mirante use sabiness punch am throway  0 0,Negative
80,watch match live for hia  na dia last home match for dis season be dis     ,Positive
81,happy baiday to rudi voeller     befor befor sabi player wey dey our hall of fame  hin turn 59 today   ,Positive
82,last home game of the season today   let s do it in style ,Negative
83,all man go fit watch thursday match live for twitter ,Positive
84,totti don show show again for  night for kings     no dull am ,Positive
85,51  ranieri nid do hin first sub sharpaly has karsdorp don wounjur ,Positive
86,second half don start  daje roma ,Negative
87,who you think say go first tear net for dis night  screenshot  amp  reply ,Positive
88,ranieri   i dey hope say as dem don waya us recently e go make us shine eye play beta 2moro  fiorentina sabi tap long ball  so we go need make sure say we no give dem chance to attack  ,Positive
89,full time for olimpico  napoli kolobi di 3 points 4 1,Positive
90,see as evribodi take look like say dem innocent  di kain fight fight wey go follow no be hia   ,Positive
91,all epic stories start somewhere    in 1993  francesco made his debut for    ,Positive
92,when roma pidgin admin wake up late for matchday   ,Negative
93,  in 2010    claudio ranieri was in the dugout as pulled out a vital win against inter  courtesy of luca ,Positive
94,admin wetin be your address make i dash you better orijo alarm clock  e no dey off  get natural bluetooth   ampl ,Positive
95,when roma admin s gran brings her english friends to the game,Negative
96,no  sir  na new york be yankee  but wetin we kuku know for hia about pidgin   ,Positive
97,america  no dull am  we go jam again    ,Positive
98,when you wan go play club football but international break dey hold you,Negative
99,roma admin dey road right now dey go spal for our away match if you see am for road just holla ,Positive
100,make we boys dem calm down and cool dem game  empoli go chop goals today ,Positive
101,and director of football monchi don agree say dem wan waka leave dem sef  monchi   i go like thank presido pallotta  all of di oga boss for di club  plus staff  players  amp  fans dem as dem support me for my time for dis club   full tori  ,Positive
102,cpj di worry about cameroon journalist wazizi and oda african journalists for jail,Negative
103,a fall from grace  pipo say tyler perry feem dey portray black women as  unhappy ,Negative
104,nigeria opposition party  want di chief justice of nigeria  justice tanko muhammad to step down from di remaining judgement wey concern pdp govnors  pdp national chairman uche secondus dey react to supreme court judgement wey sack dia party man emeka ihedioha ,Negative
105,i still get bullet for my neck 50 years afta di civil war  di 77 years old retired soldier wey carry bullet for neck 50 years after di biafra war ,Positive
106,dis nigerian old sojas say  life after retirement no easy ,Negative
107,harry and meghan  royals wey don leave palace to live dia own life,Positive
108,prophet michael oluronbi wey for form im own cherubim and seraphim for birmingham  united kingdom tell some of im victims say dem go fail exams or turn to witch if dem no gree make e sleep wit dem ,Positive
109,cameroon dey on alert afta monkeypox kill pikin for ayos centre region   see signs symptoms for di deadly disease,Negative
110,iran say no be intention dem use shoot down ukrainian jetliner   see how world pipo including uk prime minster take react now iranian protesters tanda for tehran dey chant ,Negative
111,iran military say dem  make mistake  shoot down ukrainian plane  176 pipo die for di crash wey happun on wednesday ,Negative
112,goment authorities go relocate dis coffin sellers go graveyard if dem fail to relocate by march dis year ,Negative
113,eight times wey dem shoot down passenger planes ,Negative
114,singer justin bieber just reveal say im get lyme disease  enta dis link to learn more about dis disease wey no get cure,Positive
115,inside liife   di oda day na runsewe against bobrisky  today na court against runsewe  abuja court don sentence go prison olusegun runsewe  di director general of di national council for arts and culture  ncac   until im change im ways ,Positive
116,meghan and harry wan step back  wetin e mean for di royal family ,Negative
117,1st  america kill iran general qassem soleimani 2nd  iran fire us troops missile as do me i do you attack 3rd  donald trump say america ready to make peace now  how you see di mata ,Positive
118,how kano residents dey battle with cold weather,Negative
119,first british pesin to travel go space say aliens exist and dem fit dey here on earth,Positive
120,marvel wan tear rubber dia first transgender superhero,Positive
121,police arrest di  brain  behind di abuja bank robbery,Negative
122,smokers weda past or present dey  live in more pain ,Positive
123,di suspects go spend di new year for prison as dia next date to reappear for court na january 9  2020 ,Positive
124,authorities don confam two more deaths for australia fires,Positive
125,from di tori of man wey rob bank begin spray di money for air to bbnaija 2019 engagement tori  dis na we new episode of wetin trending  which story totori you pass for inside ,Positive
126,airport security arrest man wey wan follow air peace plane go  abroad ,Negative
127,bek air plane don crash near almaty airport for kazakhstan,Positive
128,cameroon president paul biya don sign language and special status to laws,Positive
129,zambia bin sama di gay couple 15 years prison sentence afta dem catch di two men dey do kerewa  but di us ambassador for zambia say di sentence no gel ,Positive
130,french presido emmanuel macron don announce say eight west african kontries wey dey use cfa franc as moni go begin use eco as di new currency starting from year 2020 ,Positive
131,upstairs house na like gold  sotay  e dey very common to see price difference between house wey dey upstairs and di one wey dey downstairs even if di two apartments get exactly di same tins inside ,Negative
132,nigeria corruption police efcc don arrest one yahoo yahoo boy wey dey pose as central bank of nigeria governor  godwin emefiele to play pipo wayo ,Negative
133,yaya toure say  fans no get sense like before  na im make racism worse,Negative
134,efcc arrest former attorney general of nigeria mohammed adoke,Positive
135,but wen grace land dem carry her strain go one brothel wey one woman  goldie  wey dey run di place tell her say she need to repay  3800  7 times of di ticket money to india  as dem hold her passport  amp  tourist visa dey eire  grace dey trapped for delhi ,Negative
136,e no tey afta dat tori go out  grace see post for one whatsapp group  wey promise to pay plenty money for work as hostess and dancer for india   you go make beta money  dem tell her  small time she arrange passport  amp  ticket to new delhi wit hope say she go fit support family,Positive
137,thread dis na grace  one year ago she bin dey trapped for one brothel  place wia pipo dey go pay for se wia one organised network of pimps and madam dem wen don traffic plenty african women go india force her to do sex work ,Negative
138,the first temptation of christ  why dis netflix feem dey make pipo vex,Positive
139,police confam say dem arrest  port harcourt first son   duncan mighty,Positive
140,why pipo for overseas see friday the 13th as bad luck day,Negative
141,inflation dey rise for ghana despite new consumer price index wey central bank introduce,Positive
142,president buhari choice of adamu as new oga of amcon to replace banire dey make nigerians kwesion di  northern  agenda ,Positive
143, one of dem na electrician inside dat estate wey invite im friend to come join am rob di man   gildas tohouo tohouo and im wife suffer deadly attack from dia domestic staff for dia domot inside ikoyi  lagos   police,Negative
144,port harcourt hotel serial killing main suspect register as military man with false name ,Negative
145,see wen nigeria secret police dss finally re arrest and move omoyele sowere from court today like  commando feem    sowore dey inside di black lexus suv wit im lawyer  full tori   jide oyekunle  tori pesin wey dey inside court ,Negative
146,dis na di moment wen security first try to arrest sowore right inside court today  full tori   jide oyekunle  tori pesin wey dey inside court ,Positive
147,see how secret police re arrest sowore today ,Negative
148, 2023 here we come  na wetin orji uzor kalu  di abia state senator tell bbc for court afta justice mohammed idris pass judgement to jail am ,Negative
149,breaking    nnpc pipeline elosion for igando area of lagos  wey be nigeria commercial capital  tori be say di elosion happun for near gloryland estate along isheri lasu igando road    anifowose    ikotun ,Positive
150,full tori of how nigerian police declare lawyer to ipob leader ifeanyi ejiofor wanted for oraifite killings,Positive
151,how my  father  rape me for seven years  di full tori dey here,Positive
152,35 year old sani ibrahim tok about im wish and regret as di world dey celebrate disability day ,Positive
153,oghene  who else fit relate  okamoto call dem 24 000 times in eight days to show im frustrations ,Positive
154,e no easy for cameroon mami for tell pikin say e born e wit hiv ,Negative
155,dino melaye don reject di victory of apc smart adeyemi for di kogi west senatorial rerun election ,Positive
156,court don sama 20 years prison sentence to di president of surinme  desi bouterse on top accuse say im kill 15 political opponents in 1982 ,Positive
157,you see any end for crisis    since di start for 2016  about 600 000 pikin dem komot for school  amp  more than 500 000 pipo no fit live for di speaking of,Positive
158,twitter wan begin shutdown accounts wey no active,Negative
159,hear wole soyinka di nobel prize winner tori about him journey wit prostate cancer  di full video dey hia,Positive
160,if you catch your brother or sister or even your mama or papa sex offender wetin you go do  for example say di pesin dey do   traffiking or even   abeg tok true o ,Positive
161, once domestic violence dey  wey pesin go slap your eye wey you see dark for one eye and white for di oda eye   evacuate   full video   amp  drop word ontop,Positive
162,alledge n33bn money laundering  arraign suspected internet fraudster  ismaila mustapha  a k a  mompha for federal high court dis morning ,Positive
163,tori pipo for kenya dey report say like 40 pipo don die afta heavy rain for di kontri ,Negative
164,governor ganduje of kano don reject di court judgement wey sack im four new emirs ,Positive
165,thugs burn woman leader alive   dis na wetin we sabi,Positive
166,stop di stigma  make pipo start to dey get mind to tok  pesin wey dey struggle wit dia mental health no suppose dey feel shame   ,Negative
167,ghana medical association suspend dema planned strike action,Positive
168,result of kogi election  eu confam violence for kogi  refuse to declare elections dey  free and fair ,Positive
169,eu foreign observers say na kill kill  amp  tiff tiff of ballot box boku inside  amp ,Negative
170,former nigeria president goodluck jonathan say voting for him ward start late,Negative
171, as e dey hot   for di only female govnorship candidate no fit vote for her ward as she claim say members of apc beat her sdp party agents and scata her polling unit for obeida ward 1  for more updates ,Positive
172,updates from   election don start for unit 5 ward 8 imiringi ogbia lga   for otuoke materials neva reach polling units   election staff tanda to collect materials for more,Positive
173,bayelsa 2019 governorship election update  at least two pipo die for nembe  violence burst out for many campaign ground just two days to di november 16 vote  ,Positive
174,omoyele sowore don spend 100 days inside nigeria secret police net wit no hope of freedom,Negative
175,morales  mugabe  al bashir  odas wey military remove sake of mass,Negative
176,one popular russian history professor don confess say im kill him lover wey be im former student  according to im lawyer ,Positive
177,di director general of di national youth service corp  brigadier shuaibu ibrahim  tell bbc pidgin say  authorities fit to look di oda way if female corpers wear oversize uniform sake dem feel say di khaki trouser dey show dia shape ,Positive
178,nigeria border closure  how ban on petrol supply dey affect pipo wey dey live near border,Positive
179,nigeria secret police dss say nobody show to collect activist omoyele sowore  deji adeyanju volunteer,Negative
180,  lagos power companies confam blackout for light  dey trend,Positive
181,nigeria police gbab man wey kill pesin wey flash am wit okada light,Positive
182,welcome to nigeria where public officers dey carry sickness appear for court,Positive
183,bad roads make nigerians provoke for fashola,Negative
184,protesters for bolivia gada beat her  shave her hair  drag her for road come force patrice arce to resign ,Negative
185,nigeria vs netherlands  golden eaglets lose 3 1 for round of 16,Positive
186,as tori comot say di fire dey scata for inside one tall building near mandillas for balogun market  na so pipo try to quench di fire wit dia own water ,Positive
187,balogun market for lagos island  nigeria   dis na wetin we know so far  thread,Positive
188,nigeria army don promise to arrest and punish any of dia staff wey get hand for unprofessional behavior or extrajudicial actions ,Negative
189,everton midfielder andre gomes go do operation on monday afta im get serious ankle injury ,Negative
190,boko haram torture video  nigeria army go deal wit soldier wey abuse human right,Positive
191,see di mental health portraits wey win top prize for art x lagos,Positive
192,meet di artist wey say im artwork dey represent di  gods  di 59 year old artist na trained architect wey start to dey paint wen him travel go brazil for 2007  e don turn painting to full time job and im dey use acrylic on plywood ,Positive
193,see wetin cause di deadly floods wey happun for africa in october,Negative
194,di undercover investigate wey bbc news arabic do show say dem dey buy some house helps illegally come sell dem online for correct black market through apps wey dey google play and apple app stores  see full video hear,Negative
195,meet cameroon pikin awa blaise chi weh e no bi fit go school for seka anglophone crisis follow e uncle go douala for continue school and one day make real helicopter,Positive
196,why i wan continue di business   chairmo of kano  torture houses ,Negative
197,fire destroy 47 shops for maiduguri gsm market,Negative
198,lagos landlord or house agent don do you strong tin before   na like 268 pipo na im one estate agent dupe for ketu alepere  and about one month ago  anoda one dupe 70 pipo for gbagada ontop 5 bedroom house ,Positive
199,find out wia efya drop from on dis week love for dogs na on anoda level on plus see di full video,Positive
200,president biya send sorry message to pipo ontop bafoussam landslide wey die bodi dem reach 42,Negative
201,accra floods  small rain noor accra tema motorway too start dey flood,Negative
202, man wey enter abu female hostel get mental problem ,Negative
203,  death of 20 yrs undergraduate for university of jos wey drunk driver hit,Negative
204,nusrat jahan raf report sexual harassment  dem burn her to death,Positive
205,pikin wey dem born for 22 weeks of pregnancy  go fit survive ,Positive
206,e go be   wit ontop dis week episode of  question till mouth pain you  from sex for roles  to her age  to love   we get di full ansa  full video ,Positive
207,cameroon army arrest suspect for police weh deh cut e head for bamenda,Negative
208,nigerian correctional service say dem no get intention to arrest fisayo soyombo but plan dey to chook eye inside accuse of wuru wuru for ikoyi prison ,Negative
209,erika lust say most of di sex wey dey online dey show one side version of porn ,Positive
210,port harcourt  serial killer suspect  don plead guilty to murder,Negative
211,places like many parts of ikoyi  victoria island and oworoshoki dey flood and still fit flood more,Positive
212,sights and scenes from lagos  nigeria  as flooding still dey cause kasala up and down  we dey ask say goment don do wella to prepare for dis mata ,Negative
213,more dan 20 000 pipo don run comot dia house for niger afta floods take ova ,Positive
214, na on sunday e happun  me and dele giwa bin dey chop akara   at dat time  im pikin billy carri parcel wey pesin bin dump for gate come enta di room wia we dey  di parcel resemble book wey get hard cover  amp  bin get address say e come from cabinet office  ,Negative
215,or abi   whoelse dey imagine how long  full tori dey hia uk parliament   because of you we sidon for di first saturday in 37 years  pm boris johnson   me a don tok my own  i no go negotiate a delay wit eu ,Positive
216,at least 28 pipo don die for days heavy rain wey flood upper east,Negative
217,pipo don lose property wey worth millions of naira for di ochanja  onitsha market fire  one of di victims tell us say she no do insurance ,Positive
218,nipost oga say di organisation dey work to flush out di bad eggs wey dey di company ,Negative
219,police don file case against main suspect for port harcourt hotel killing,Positive
220,27 year old patrick day die for hospital four days afta im suffer brain injury for charles conwell fight,Positive
221,buhari sad  nigerians say  we dey on awa own  ontop onitsha market fire inside anambra,Positive
222,buhari cancel business class travel for public officers but top top oga dem go still enjoy ,Positive
223,fuel tanker elosion destroy tins for ochanja market onitsha,Negative
224,rapist read poem give im seven year old victim inside court,Positive
225,nlc strike for minimum wage  nigeria workers strike fit no hold today,Positive
226,cameroon take bus to nigeria for first international rugby competition,Positive
227,yasuke  di first foreign born man to become samurai warrior ,Positive
228,press freedom  tori pipo dey face jail  abuse for nigeria  amnesty int l,Negative
229,passenger slum and die for lagos airport afta e hear bad news,Negative
230,four pipo die for magodo building collapse as heavy rain worry lagos,Negative
231,buhari wedding tori no be true ,Positive
232,brazil vs senegal  neymar fail to win for im 100th cap,Positive
233,ngũgĩ wa thiong o failure to win 2019 nobel prize for literature shock pipo,Positive
234,world mental health day  anglophone idp pikin dem di share dia tori for heal,Negative
235, me too be victim of sexual harassment during my university days    na di wife of govnor for south west nigeria,Positive
236,di kain coffins wey paa joe dey make get as dem be because some of demma resemble tins wey we dey for daily life but dis 72 year old ghanaian artist style dey honor di tradition of  abeduu adekai  ,Positive
237,great journalism by for the ee  beyond being suspended  the lecturer should be tried under th ,Positive
238,see di full video hia secret feem show dr boniface wey unilag suspend on monday afta dem watch di video inside nigeria ,Negative
239,see di  sex for grades  full video of how students dey face harassment,Positive
240,  unilag don suspend dr boniface from academic work see di full tori hia dr  boniface name begin trend for nigeria social media afta di  bbc pidgin video show am dey tok about cold room eerience for university of lagos,Negative
241,foursquare gospel church don tell di unilag lecturer dr boniface to step down video wey torchlight full tori dey hia,Positive
242,how secret investigate ee sexual harassment by lecturers for west africa big big universities  see full video hia,Positive
243,25  of young pipo no get one single friend   new research,Positive
244,easy o  keep you head for ontop your bodi ,Positive
245,manchester city player bernardo silva dey for hot soup ontop racism investigation ,Positive
246, i love you pipo very well  but please find una real husbands   di guy wey drop  baby shey you dey for me    na di latest guest for question till mouth pain you,Positive
247,french club nice sack dia player wey tiff wrist watch,Positive
248,  man and woman wey mix to celebrate independence go chop arrest,Negative
249,ghana communication service tax  go pay 9  more for telecom  5 9   electricity den 2 2   water tariffs starting today,Positive
250,president buhari use im speach to cut warning for nigerians wey dey promote hate speech for social media,Negative
251,one 75 year old man die for mozambique afta im children bury am alive ,Positive
252,omoyele sowore don show nigeria court for fresh trial,Positive
253,police say dem discover  baby factory  rescue 19 pregnant girls for lagos ,Positive
254,court charge senior officer plus civilian suspect wey dey behind alleged plot,Negative
255,oyibo students cut black girl dada inside america school,Negative
256,nigeria vice president yemi osinbajo declaration say im ready to  waive im constitutional immunity  to clear im name make pipo ask questions ,Positive
257,na nearly 500 men and pikin dem  police say dem lock dem  chain dem and sexually abuse dem for di house for rigasa area of kaduna ,Positive
258,ok  hand sign don become hate symbol,Negative
259,omoyele sowore   free now or you go enta prison     court warn nigeria spy police oga,Positive
260,lisa li na blogger with 1 1 million followers wey pipo sabi for her fine fine travel  party and oda foto of adventures  but one video go viral wey show how with dirty  rotten food and dog poo poo ,Positive
261,best fifa men s player 2019  egypt fa wan know why dia vote no count,Positive
262,top democrat ms pelosi say mr trump don commit  a violation of di law ,Positive
263,boris johnson resignation na wetin some mps want now afta court say im do wrong,Negative
264,nigeria housing na di worst for di world   united nations,Negative
265,12 year old nigerian climate activist deborah adegbile dey among di 15 young pipo wey file complain against five world economies ,Positive
266,  south africans dey para as anoda woman die from gender based violent attack,Negative
267,iran say dem go destroy any kontri wey attack dem afta us make move,Negative
268,  price for anti venom over high sotei di push pipo for traditional doctors,Positive
269,corruption arrest 25 lautech students for internet fraud,Negative
270,canada pm justin trudeau tok sorry for 2001  brown face  foto ,Negative
271,police gbab man wey wan strangle one woman wit towel inside one hotel for,Negative
272,while president dey apologise for   di mayor of say im no get any apology for nigeria and odas  di mayor right or wrong    over to you  enta coment section make we relate,Negative
273,  di mayor of right or wrong   over to you while president dey apologise for di attacks on foregners  di mayor of say im no get any apology ,Negative
274,everi day for di tiff one day for di owner  port harcourt hotel killing  police gbab man wey wan strangle one woman wit towel,Negative
275,update   how school fire kill many pikins for dis w africa kontri ,Positive
276,over 50 women groups dey do one peace waka to protest di serial killings wey dey happun for port harcourt  south south nigeria  full tori dey hia,Positive
277,ghana cid boss for chop sack now  ghanaians bore  incompetent  cop tiwaa addo danquah,Negative
278,port harcourt hotel killing  police tell dis afternoon say dem arrest two pipo and say di tori of two more girls deaths na fake news,Negative
279,cameroon video killing  military court adjourn case again afta seven soldiers show up,Negative
280,bad dream make woman swallow her engagement ring,Negative
281,everi girl need to be careful because dem neva catch dis guys  ,Negative
282,change channel to bbc pidgin for facebook as bbnaija pepperdem housemate venita dey di house  bbc pidgin gist ontop bbnaija live by 10 25am ,Positive
283,jarrid wilson  pastor and mental health advocate don kill imself,Negative
284,ghana military police team arrest 354  criminals ,Negative
285,vat to 7 2   how nigerians dey react to new value added tax,Positive
286,election tribunal dismiss atiku petition say e nor fit prove im case,Positive
287,buhari fail to convince tribunal say atiku from cameoon,Negative
288,buhari fail to convince tribunal say atiku from cameroon ,Negative
289,buhari fail to convince tribunal say atiku from cameoon ,Negative
290,teenager for zamfara set fire for body say her parents no gree her marry for love,Positive
291,president sign law wey ban vigilantes wit up to 15 years jail term as penalty,Negative
292,my biggest regret na say i no fit read or write my name ,Negative
293,anglophone crisis  kumba tight for middle local authorities and separatists,Negative
294,over 600 nigerians for south africa say dem wan return nigeria over di xenophobic attacks,Negative
295,economy worse now pass former president mugabe time ,Negative
296,money to buy food don high for your side  dis traders dey beg gofment to do sometin about di increase in price of food items wey happen since gofment close di seme border  president buhari say di closure go reduce smuggling ,Positive
297,vegan and vegetarian diets fit increase stroke risk,Positive
298,president akufo addo give john mahama  unlooking  handshake start debate for social media,Positive
299,former first lady of honduras go face 58 years in jail,Positive
300, my son regret im action   abdulmutallab papa see di full video hia,Positive
301,nigeria don pull out of world economic forum for s africa,Positive
302,nigeria don recall dia high commissioner to s africa,Positive
303,17 year old boy  blind  sake of im dey chop only chips and white bread,Negative
304,breaking tori  police fire teargas give protesters for abuja wey wan burn down shoprite,Negative
305,cameroon opposition leader maurice kamto and odas give condition for appear for military court,Negative
306,south africa high commissioner to nigeria deny,Positive
307, attacks against nigerians for south africa fit destroy african brotherhood ,Positive
308, six months afta police kill my husband we never get justice    victim,Negative
309, nigeria make aliko dangote  but ghana gov t dey destroy local businessmen    archbishop duncan williams,Negative
310,new report say lovers wey go kill dia partners dey follow eight steps,Positive
311,mikel obi girlfriend olga para for world pipo wey happy for dia  breakup ,Positive
312,123 men we arrest inside truck with okada from jigawa no be terrorists   lagos police,Negative
313,america say dia new do me i do you fee for nigerians wey want dia visa go still remain for now,Positive
314,if dem share money wey nigeria dey owe for all of us  see your own portion  if dem come tok say make we all join hand pay  you go pay   ,Positive
315,sabi pipo say di mass child sacrifice dem dsicover for peru fit be di biggest in history ,Positive
316,america deport harvard new student from airport because of im  friend facebook post ,Positive
317,heavy rains dey open graves for kano cemeteries,Negative
318,nigeria fail to assist victims of human trafficking ,Negative
319,nigeria carry last for jollof competition as ghana win,Positive
320,police arrest kidnappers wey collect palm oil  yam  schnapps as ransom,Negative
321,crocodile bite man wey put hand for wrong side of glass for crayfish party for sweden,Negative
322,former black stars striker junior agogo don die for london,Negative
323,gun men shoot for bamenda  shout  free sisuku ayuk ,Positive
324,kano censorship board bin arrest top northern movie director sanusi oscar ontop music video dem say  break law  ,Positive
325,500 million bees die for brazil in three months  tins no too good for bees around di world right now ,Positive
326,warning dey say meningitis fit kill,Positive
327,united states government deport 40 ghanaians sake of theft  sexual assault  fraud den stuff,Positive
328,for sentencing wey happen for 5 30am  e be like tins no go easy for sisiku ayub,Positive
329,police arrest five pipo for hausa  yoruba traders fight for lagos,Negative
330,paris customer shoot waiter die sake of  slow sandwich service ,Negative
331,local tori pipo dey report say di banned imn leader ibrahim el zakzaky no fit reach agreement with authorities as to im treatment ,Negative
332,woman wey flog small boy lock am inside dog house go ansa case for court,Negative
333,heavy securtiy dey unity fountain for abuja wia two groups dey do i no go gree ,Negative
334,dis wan na afta di metropolitan police for uk say dem go investigate bbnaija housemate khafi wey go di show without permission ,Negative
335,tekno agege song release no sweet nigeria gofment for belle ,Negative
336, one of us don mess and i know who e be   na so members of one regional assembly for kenya begin dey point finger ,Negative
337,buhari wan investigate why army kill police dem mistake as kidnappers,Negative
338, i only sleep with her once    man wey rape 10 year old pikin,Positive
339,edo assembly crisis  nigeria house of reps say court no fit stop dem from taking over state assembly,Negative
340,di nigerian musician don already tok sorry for di video wey cause controversy but reports say police still invite am to ansa qweshion ,Negative
341,birds go replace jammeh face ontop gambia new money,Positive
342,  heavy security take over day 2 venue  protesters dey find pipo dem arrest across nigeria,Negative
343,cotton  corn farmers di hear bad wit climate change but de situation fit change,Negative
344,inside oda tori for today tins don dey set for el zakzaky bail rulling today kaunda as security don full everywia,Positive
345,police don dey arrest pipo ontop di protest for lagos,Negative
346,mean while  for places like abuja and port harcourt police plenty but di protest neva start for those areas,Negative
347,as pipo dey gada  more piloce pipo don show for wia some pipo dey do dia own protest for lagos,Positive
348,follow we facebook live from national station surulere lagos  wia some pipo don start dia own protest,Positive
349,  police say dem no sabi who arrest omoyele sowore wey dey ginger nigerians to do,Negative
